Sample,variable,value
4Ab-HF | 25-09-2017,Non.Glyco.Acid.,10.956625568321204
50B-HF | 14-01-2019,Non.Glyco.Acid.,10.59882941733033
53 post-ConBis   | 20-02-2019,Non.Glyco.Acid.,7.37440105129365
53A-HF | 02-01-2019,Non.Glyco.Acid.,5.650842775506569
55A-HF | 21-01-2019,Non.Glyco.Acid.,12.42848158111477
55B-HF | 25-02-2019,Non.Glyco.Acid.,18.571381978896703
5A-HF | 18-09-2017,Non.Glyco.Acid.,8.445718407730206
5B-HF | 06-11-2017,Non.Glyco.Acid.,8.779087599095423
7A-CHF | 23-11-2017,Non.Glyco.Acid.,5.233367590819064
8A-HF | 23-10-2017,Non.Glyco.Acid.,10.0897920698132
8B-HF | 11-12-2017,Non.Glyco.Acid.,12.266668250159789
9A_2-DB2 | 13-08-2018,Non.Glyco.Acid.,18.595946107005926
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,Non.Glyco.Acid.,12.201793145779323
Glycolysis-DB-26-26 | 06-12-2017,Non.Glyco.Acid.,4.830686151730415
Glycolysis-DB-26-26 | 19-02-2018,Non.Glyco.Acid.,14.38976453730724
X-HC | 23-10-2017,Non.Glyco.Acid.,8.318505830897388
