Sample,variable,value
27Bb-HF | 18-06-2018,Maximal.Resp,92.25049563809998
29A-HF | 08-05-2018,Maximal.Resp,77.63435896378469
2B_2-DB2 | 12-02-2018,Maximal.Resp,116.90638548637405
31A-HF | 13-08-2018,Maximal.Resp,251.0852451108802
31B-HF | 01-10-2018,Maximal.Resp,148.3106708870106
32A-HF | 15-05-2018,Maximal.Resp,73.95978934200126
32Ab-HF | 15-05-2018,Maximal.Resp,64.68591668767418
32B-HF | 29-06-2018,Maximal.Resp,83.58467462062337
33A-HF | 20-08-2018,Maximal.Resp,73.12074364303619
33B-HF | 08-10-2018,Maximal.Resp,4.324883504591535
34B-HF | 14-11-2018,Maximal.Resp,101.01799259341747
36A-HF | 27-08-2018,Maximal.Resp,68.74657166633678
36B-HF | 15-10-2018,Maximal.Resp,87.95516883627477
39 post-ConBis  | 23-11-2018,Maximal.Resp,97.08414305270796
39A-HF | 15-10-2018,Maximal.Resp,82.5554363003985
3A-HF | 28-08-2017,Maximal.Resp,50.054946681097384
3Ab-HF | 28-08-2017,Maximal.Resp,51.0487489019164
40A-HF | 07-01-2019,Maximal.Resp,111.71831888196834
40B-HF | 25-02-2019,Maximal.Resp,145.52569115288102
42B-HF | 19-11-2018,Maximal.Resp,45.68560252914138
43A-HF | 15-10-2018,Maximal.Resp,77.11233987194032
43B-HF | 05-12-2018,Maximal.Resp,83.87516758364457
44A-HF | 29-10-2018,Maximal.Resp,65.42255669732101
46A-HF | 19-11-2018,Maximal.Resp,31.26465054295116
46B-HF | 07-01-2019,Maximal.Resp,120.29449567796658
48 pre- | 05-11-2018,Maximal.Resp,76.78987539950863
48B-HF | 21-12-2018,Maximal.Resp,56.05330849788771
49A-HF | 05-12-2018,Maximal.Resp,36.059168901091326
49B-HF | 22-01-2019,Maximal.Resp,64.95495815826922
4A-HF | 25-09-2017,Maximal.Resp,50.92684076781297
4Ab-HF | 25-09-2017,Maximal.Resp,55.65635973424048
4B-HF | 13-11-2017,Maximal.Resp,125.25665686758563
50A-HF | 26-11-2018,Maximal.Resp,68.2755667069312
50B-HF | 14-01-2019,Maximal.Resp,111.2486616851622
53 post-ConBis   | 20-02-2019,Maximal.Resp,63.399733240782794
53A-HF | 02-01-2019,Maximal.Resp,78.35096430835404
55A-HF | 21-01-2019,Maximal.Resp,91.67660365205286
55B-HF | 25-02-2019,Maximal.Resp,161.07601381703466
5A-HF | 18-09-2017,Maximal.Resp,79.49313775452028
5B-HF | 06-11-2017,Maximal.Resp,87.56367287732125
7A-HF | 23-11-2017,Maximal.Resp,37.20811791667343
8A-HF | 23-10-2017,Maximal.Resp,86.54863393060178
