Sample,variable,value
9A_4x-DB2 | 17-Sep-18 ,log.Proton.Leak,0.09225250342740932
10A_1x-DB2 | 16-Oct-18 ,log.Spare.Resp.Cpcty,0.9063191561956883
10A_1y-DB2 | 16-Oct-18 ,log.Spare.Resp.Cpcty,0.8603620897462263
10A_2x-DB2 | 08-Nov-18 ,log.Spare.Resp.Cpcty,0.9213046379839613
10A_2y-DB2 | 08-Nov-18 ,log.Spare.Resp.Cpcty,0.9006542612168431
10A_3x-DB2 | 20-Nov-18 ,log.Spare.Resp.Cpcty,0.9363811973840699
10A_3y-DB2 | 20-Nov-18 ,log.Spare.Resp.Cpcty,0.9539591857287686
10A_4x-DB2 | 14-Dec-18 ,log.Spare.Resp.Cpcty,0.7099125951433916
10A_4y-DB2 | 14-Dec-18 ,log.Spare.Resp.Cpcty,0.7287973343284513
11B_1x-DB2 | 20-Dec-18 ,log.Spare.Resp.Cpcty,1.0254854958398463
11B_1y-DB2 | 20-Dec-18 ,log.Spare.Resp.Cpcty,1.0116383775198736
11B_3x-DB2 | 23-01-2019,log.Spare.Resp.Cpcty,0.9305582557165741
11B_3y-DB2 | 23-01-2019,log.Spare.Resp.Cpcty,0.7892901121741605
11B_4x-DB2 | 18-Feb-19 ,log.Spare.Resp.Cpcty,1.0238369387899322
11B_4y-DB2 | 18-Feb-19 ,log.Spare.Resp.Cpcty,0.9866605521359126
1A_1x-DB2 | 09-10-2017,log.Spare.Resp.Cpcty,0.752320798469809
1A_1y-DB2 | 09-10-2017,log.Spare.Resp.Cpcty,0.8309315331908218
1A_2x-DB2 | 03-11-2017,log.Spare.Resp.Cpcty,0.8259814464813586
1A_2y-DB2 | 03-11-2017,log.Spare.Resp.Cpcty,1.1337509766048477
1A_3x-DB2 | 14-11-2017,log.Spare.Resp.Cpcty,0.8189490107343795
1A_3y-DB2 | 14-11-2017,log.Spare.Resp.Cpcty,0.8017830142820941
1A_4x-DB2 | 07-12-2017,log.Spare.Resp.Cpcty,0.933134574252076
1A_4y-DB2 | 07-12-2017,log.Spare.Resp.Cpcty,0.9726122116485034
2B_1x-DB2 | 17-01-2018,log.Spare.Resp.Cpcty,0.7497368681918384
2B_1y-DB2 | 17-01-2018,log.Spare.Resp.Cpcty,0.6929218159853789
2B_3x-DB2 | 20-Feb-18 ,log.Spare.Resp.Cpcty,0.6700411038484804
2B_3y-DB2 | 20-Feb-18 ,log.Spare.Resp.Cpcty,0.7004335196868583
2B_4x-DB2 | 15-03-2018,log.Spare.Resp.Cpcty,0.7383264493291315
2B_4y-DB2 | 15-03-2018,log.Spare.Resp.Cpcty,0.628275792674319
3B_1x-DB2 | 31-01-2018,log.Spare.Resp.Cpcty,0.878754303716967
3B_1y-DB2 | 31-01-2018,log.Spare.Resp.Cpcty,0.8422033522463863
3B_2x-DB2 | 23-Feb-18 ,log.Spare.Resp.Cpcty,0.8715469591592031
3B_2y-DB2 | 23-Feb-18 ,log.Spare.Resp.Cpcty,0.7198272156391625
3B_3x-DB2 | 07-03-2018,log.Spare.Resp.Cpcty,0.920650219058329
3B_3y-DB2 | 07-03-2018,log.Spare.Resp.Cpcty,0.900270633992045
3B_4x-DB2 | 28-03-2018,log.Spare.Resp.Cpcty,0.9245122553070311
3B_4y-DB2 | 28-03-2018,log.Spare.Resp.Cpcty,0.8785648316622998
4A_1x-DB2 | 09-01-2018,log.Spare.Resp.Cpcty,0.960493191861933
4A_1y-DB2 | 09-01-2018,log.Spare.Resp.Cpcty,0.9206356552710968
4A_3x-DB2 | 13-02-2018,log.Spare.Resp.Cpcty,0.8286594587132212
4A_3y-DB2 | 13-02-2018,log.Spare.Resp.Cpcty,0.7690352101117139
4A_4x-DB2 | 09-03-2018,log.Spare.Resp.Cpcty,0.891655544151654
4A_4y-DB2 | 09-03-2018,log.Spare.Resp.Cpcty,0.9615945876924603
